item,label_ja,label_en,altLabel_ja,altLabel_en,instance of
http://www.wikidata.org/entity/Q204773,ジンクフィンガーヌクレアーゼ,zinc finger nuclease,[],"['Zinc-finger nucleases', 'ZFNs']",['Q84467700']
http://www.wikidata.org/entity/Q2049602,,pancreatic enzyme,[],[],[]
http://www.wikidata.org/entity/Q205858,リボザイム,ribozyme,['ライボザイム'],[],[]
http://www.wikidata.org/entity/Q206286,DNAポリメラーゼ,DNA polymerase,"['DNAポリメレース', 'DNA合成酵素']","['deoxyribonucleic acid polymerase', 'deoxynucleate polymerase', 'DNA nucleotidyltransferase', 'deoxyribonucleic polymerase', 'deoxyribonucleate nucleotidyltransferase']",['Q67015883']
http://www.wikidata.org/entity/Q2063923,無機ピロホスファターゼ,Inorganic pyrophosphatase,['無機ジホスファターゼ'],"['Inorganic diphosphatase', 'pyrophosphate phosphohydrolase', 'diphosphate phosphohydrolase']",['Q67015883']
http://www.wikidata.org/entity/Q20650182,,,[],[],[]
http://www.wikidata.org/entity/Q20650194,,iodopsin,[],[],['Q55640599']
http://www.wikidata.org/entity/Q20665497,,monocistronic mRNA,[],[],[]
http://www.wikidata.org/entity/Q2067077,ソマトスタチン受容体,somatostatin receptor,[],"['Somatostatin receptors', 'Receptors, Somatostatin', 'Somatostatin receptor family', 'Somatstn_rcpt', 'IPR000586']",['Q417841']
http://www.wikidata.org/entity/Q2067922,,dornase alfa,[],"['DNase I', 'Deoxyribonuclease-1 precursor', 'Deoxyribonuclease I', 'DNase', 'rhDNase']",['Q113145171']
http://www.wikidata.org/entity/Q206920,ペプチドグリカン,peptidoglycan,['ムレイン'],[],['Q47154513']
http://www.wikidata.org/entity/Q2069402,,pectinesterase,[],"['pectase', 'pectin methoxylase', 'pectinoesterase', 'pectin pectylhydrolase', 'pectin methyl esterase', 'pectin methylesterase', 'pectin demethoxylase']","['Q67015883', 'Q81505329']"
http://www.wikidata.org/entity/Q2069481,,Pentraxins,[],"['pentraxin', 'pentaxin', 'pentaxins']",['Q81505329']
http://www.wikidata.org/entity/Q2069698,,pectic acid,[],"['polygalacturonic acid', 'pectate', 'α-D-polygalacturonic acid', 'poly(1,4-α-D-galacturonate)']",['Q113145171']
http://www.wikidata.org/entity/Q20707037,,beta-melanocyte-stimulating hormone,[],"['β-MSH', 'β-melanotropin', 'beta-MSH', 'beta-melanotropin', 'POMC(217-234)', 'melanotropin beta', 'H-Ala-Glu-Lys-Lys-Asp-Glu-Gly-Pro-Tyr-Arg-Met-Glu-His-Phe-Arg-Trp-Gly-Ser-Pro-Pro-Lys-Asp-OH', 'AEKKDEGPYRMEHFRWGSPPKD']",['Q113145171']
http://www.wikidata.org/entity/Q20707046,,gamma-melanocyte-stimulating hormone,[],"['γ-MSH', 'gamma-MSH', 'γ-melanotropin', 'gamma-melanotropin', 'POMC(77-87)']",['Q59199015']
http://www.wikidata.org/entity/Q20707821,,Iodine (131 I) derlotuximab biotin,[],[],[]
http://www.wikidata.org/entity/Q20708036,,leukotriene B4 receptor,[],"['Leukotriene_B4_rcpt', 'IPR003981']",['Q417841']
http://www.wikidata.org/entity/Q20708039,,leukotriene receptor,[],"['Receptors, Leukotriene']",['Q84467700']
http://www.wikidata.org/entity/Q20708282,,Ceramide-activated protein phosphatase,[],[],['Q78155096']
http://www.wikidata.org/entity/Q20708283,,cerein,[],['cereins'],['Q67101749']
http://www.wikidata.org/entity/Q2071346,パーレカン,Heparan sulfate proteoglycan 2,[],"['PLC', 'basement membrane-specific heparan sulfate proteoglycan core protein', 'Perlecan', 'HSPG2', 'endorepellin (domain V region)', 'perlecan proteoglycan']",['Q8054']
http://www.wikidata.org/entity/Q207466,アミロース,amylose,[],[],['Q119896085']
http://www.wikidata.org/entity/Q20749006,,STN8,[],[],[]
http://www.wikidata.org/entity/Q20749728,,LOC100132741,[],['uncharacterized LOC100132741'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20749842,,LOC100422781,[],['uncharacterized LOC100422781'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20749868,,LOC101929802,[],['uncharacterized LOC101929802'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20749882,,LOC102725114,[],['uncharacterized LOC102725114'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20749884,,LOC102725239,[],['uncharacterized LOC102725239'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20749886,,LOC102725532,[],['uncharacterized LOC102725532'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750003,,MIR3920,[],['microRNA 3920'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750004,,MIR3921,[],['microRNA 3921'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750005,,MIR3156-2,[],"['microRNA 3156-2', 'mir-3156-2']","['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750012,,LOC101927200,[],['uncharacterized LOC101927200'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750013,,SNTG2-AS1,[],"['uncharacterized LOC101060391', 'SNTG2 antisense RNA 1']","['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750015,,LINC02412,[],"['uncharacterized LOC102724933', 'long intergenic non-protein coding RNA 2412']","['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750016,,LINC02359,[],"['uncharacterized LOC101927464', 'long intergenic non-protein coding RNA 2359']","['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750017,,LOC101928866,[],['uncharacterized LOC101928866'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750019,,LOC101928861,[],['uncharacterized LOC101928861'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750021,,LOC101927971,[],['uncharacterized LOC101927971'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750022,,LOC100287010,[],['uncharacterized LOC100287010'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750023,,LINC01988,[],['long intergenic non-protein coding RNA 1988'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750024,,LINC02324,[],"['uncharacterized LOC100128233', 'long intergenic non-protein coding RNA 2324']","['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750028,,LOC101927882,[],['uncharacterized LOC101927882'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750029,,MIR4314,[],['microRNA 4314'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750032,,PIK3CA-DT,[],"['uncharacterized LOC101928739', 'PIK3CA divergent transcript']","['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750033,,LOC101926923,[],['uncharacterized LOC101926923'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750034,,LOC102725227,[],['uncharacterized LOC102725227'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750035,,LOC102723670,[],['uncharacterized LOC102723670'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750036,,LINC00919,[],['long intergenic non-protein coding RNA 919'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750037,,LOC145474,[],['uncharacterized LOC145474'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750038,,LINC02649,[],"['uncharacterized LOC399715', 'long intergenic non-protein coding RNA 2649']","['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750040,,LINC02016,[],['long intergenic non-protein coding RNA 2016'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750041,,LOC101927452,[],['uncharacterized LOC101927452'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750045,,LINC02402,[],"['uncharacterized LOC101927058', 'long intergenic non-protein coding RNA 2402']","['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750047,,LOC101927053,[],['uncharacterized LOC101927053'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750048,,MIR4280,[],['microRNA 4280'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750049,,LINC02544,[],"['uncharacterized LOC101929504', 'long intergenic non-protein coding RNA 2544']","['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750053,,LOC102725195,[],['uncharacterized LOC102725195'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750054,,LOC102724027,[],['uncharacterized LOC102724027'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750056,,LINC01787,[],['long intergenic non-protein coding RNA 1787'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750057,,LOC101927510,[],['uncharacterized LOC101927510'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750058,,LOC102724736,[],['uncharacterized LOC102724736'],"['Q427087', 'Q7187']"
http://www.wikidata.org/entity/Q20750059,,LOC102724731,[],['uncharacterized LOC102724731'],"['Q427087', 'Q7187']"
